Smiles,IC50,pIC50
O=C(O)c1ccc(C(F)F)c(-c2cccc(Nc3nccc(C(F)(F)F)n3)c2)c1,1113.0,5.953504835665291
COc1c(F)cc(-c2cc3ncccc3c(OC[C@H]3CNC(=O)C3)n2)cc1F,22.3,7.651695136951839
COc1cc(-c2cc3ncccc3c(OC[C@H]3CNC(=O)C3(C)C)n2)cc(OC)c1OC,11.7,7.931814138253839
C[C@@H](Oc1nc(-c2ccc(C#N)cc2)cc2ncccc12)[C@H]1CNC(=O)C1,0.4,9.397940008672037
CN1CCN(C(=O)c2cc3cc(Nc4nccc(-c5cc(OCC6(CO)CC6)ccn5)n4)ccc3[nH]2)CC1,6.7,8.173925197299173
CC(C)N1CCN(C(=O)c2cc3cc(Nc4nccc(-c5ccccn5)n4)ccc3[nH]2)CC1,41.0,7.3872161432802645
O=C(c1cc2cc(Nc3nccc(-c4ccccn4)n3)ccc2[nH]1)N1CCN(C2CC2)CC1,43.3,7.363512103646634
CC1CCCN1c1cccc(Nc2cc(-c3ccc4c(c3)NCCC4)nn3ccnc23)n1,151.3,6.8201610719768135
CC(C)Nc1nc(-c2cnn(CCN3CCOCC3)c2)cc2ncn(C)c(=O)c12,200.0,6.698970004336019
CC(C)Nc1nc(-c2cnc(N3CCOCC3)nc2)cc2ncn(C)c(=O)c12,1042.0,5.9821322810364945
Cc1ccc(CNc2nc(-c3ccc(N4CCOCC4)c(S(C)(=O)=O)c3)cc3ncn(C)c(=O)c23)o1,496.0,6.304518323509803
CC(C)Nc1nc(-c2ccc(N3CC[C@H](O)C3)c(S(C)(=O)=O)c2)cc2ncn(C)c(=O)c12,76.9,7.114073660198569
Cc1cc(C)cc(Nc2nccc(-n3cc(CN4CC[C@@H](O)C4)c(C)n3)n2)c1,3.5,8.455931955649724
Cc1cc(C)cc(Nc2nccc(-n3cc(C)c(CN4CCC(F)(F)CC4)c3)n2)c1,307.0,6.512861624522813
COc1cc(Nc2nccc(-n3cc(C)c(CN4CC(O)C4)c3)n2)cc(OC)c1OCC(=O)N1CCCC1,61.4,7.211831628858833
CCOC(=O)CCCn1cc(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c2cc(OC)ccc21,204.0,6.690369832574102
Nc1ccccc1COc1ccc(Nc2nccc(-c3nccs3)n2)cc1,500.0,6.301029995663981
COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(N)(=O)=O)cc31)cn2CC(=O)O,850.0,6.070581074285707
c1ccc(COc2ccc(Nc3nccc(-c4nccs4)n3)cc2)cc1,1000.0,6.0
c1ccc(Oc2cccc(Nc3nccc(-c4nccs4)n3)c2)cc1,1000.0,6.0
NC(=O)c1ccc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,19.0,7.721246399047171
Cc1cc(C)nc(Nc2cc(NC[C@@H](N)CS(C)(=O)=O)cnc2C(N)=O)c1,184.0,6.735182176990463
C[C@H]1CCCN1c1cccc(Nc2cc(-c3ccccc3)nn3ccnc23)n1,106.6,6.972242795309446
CC1CCCN1c1cccc(Nc2cc(-c3cccc(O)c3)nn3ccnc23)n1,101.55,6.993320072259174
CC1CCCN1c1cccc(Nc2cc(-c3ccc(OCCN4CCOCC4)cc3)nn3ccnc23)n1,156.65,6.805069600782276
